dev-workflow-ui/webContent/view/home.xhtml	si si-list-bullets	ti ti-folder-open
dev-workflow-ui/webContent/view/home.xhtml	si si-navigation-menu-horizontal-filled	ti ti-dots
dev-workflow-ui/webContent/view/login.xhtml	si si-login-3	ti ti-login-2
dev-workflow-ui/webContent/view/profile.xhtml	si si-floppy-disk	ti ti-device-floppy
dev-workflow-ui/webContent/view/profile.xhtml	si si-question-circle	ti ti-help-circle
dev-workflow-ui/webContent/view/starts.xhtml	si si-check-1	ti ti-check
dev-workflow-ui/webContent/view/starts.xhtml	si si-controls-play	ti ti-player-play
dev-workflow-ui/webContent/view/starts.xhtml	si si-expand-6	ti ti-queue-pop-out
dev-workflow-ui/webContent/view/starts.xhtml	si si-filter-1	ti ti-filter
dev-workflow-ui/webContent/view/starts.xhtml	si si-hierarchy-6	ti ti-sitemap
dev-workflow-ui/webContent/view/starts.xhtml	si si-hyperlink-3	ti ti-link
dev-workflow-ui/webContent/view/starts.xhtml	si si-navigation-menu-horizontal-filled	ti ti-dots
dev-workflow-ui/webContent/view/switch-user.xhtml	si si-single-neutral-actions	ti ti-user-check
dev-workflow-ui/webContent/view/tasks.xhtml	si si-controls-play	ti ti-player-play
dev-workflow-ui/webContent/view/tasks.xhtml	si si-information-circle	ti ti-info-circle
dev-workflow-ui/webContent/view/tasks.xhtml	si si-multiple-neutral-1	ti ti-users
dev-workflow-ui/webContent/view/tasks.xhtml	si si-navigation-menu-horizontal-filled	ti ti-dots
dev-workflow-ui/webContent/view/task.xhtml	si si-cog	ti ti-settings
dev-workflow-ui/webContent/view/task.xhtml	si si-common-file-text	ti ti-file-text
dev-workflow-ui/webContent/view/task.xhtml	si si-synchronize-arrow-clock	ti ti-clock-play
dev-workflow-ui/webContent/view/user.xhtml	si si-common-file-text	ti ti-file-text
dev-workflow-ui/webContent/view/user.xhtml	si si-information-circle	ti ti-info-circle
dev-workflow-ui/webContent/view/user.xhtml	si si-layout-bullets	ti ti-folder-open
dev-workflow-ui/webContent/view/user.xhtml	si si-multiple-neutral-1	ti ti-users
dev-workflow-ui/webContent/view/webservices.xhtml	si si-expand-6	ti ti-queue-pop-out
