potential_target,potential_target_type,file,line,matched_mapping_key,matched_mapping_value,replaced
"si si-analytics-graph","Regular","dev-workflow-ui/webContent/includes/template/sidebar.xhtml","14","si si-analytics-graph","ti ti-chart-dots","replaced"
"si si-recycling-trash-bin-2","Regular","dev-workflow-ui/webContent/includes/template/sidebar.xhtml","15","si si-recycling-trash-bin-2","ti ti-recycle","replaced"
"si si-network-browser","Regular","dev-workflow-ui/webContent/includes/template/sidebar.xhtml","16","si si-network-browser","ti ti-browser","replaced"
"si si-analytics-graph","Regular","dev-workflow-ui/webContent/includes/template/sidebar.xhtml","17","si si-analytics-graph","ti ti-chart-dots","replaced"
"si si-mood-warning","Regular","dev-workflow-ui/src/ch/ivyteam/workflowui/intermediateEvents/IntermediateEventDetailsBean.java","32","si si-mood-warning","ti ti-alert-octagon","replaced"
"si si-hourglass","Regular","dev-workflow-ui/src/ch/ivyteam/workflowui/intermediateEvents/IntermediateEventDetailsBean.java","33","si si-hourglass","ti ti-hourglass-low","replaced"
"si si-single-neutral-circle","Regular","dev-workflow-ui/src/ch/ivyteam/workflowui/user/UserComponentModel.java","33","si si-single-neutral-circle","ti ti-user-circle","replaced"
"pi pi-chart-bar","Regular","dev-workflow-ui/webContent/includes/components/statistics/taskTopWorkers.xhtml","14","pi pi-chart-bar","ti ti-chart-bar","replaced"
"pi pi-chart-pie","Regular","dev-workflow-ui/webContent/includes/components/statistics/taskStateGraph.xhtml","13","pi pi-chart-pie","ti ti-chart-pie","replaced"
"si si-move-to-bottom","Regular","dev-workflow-ui/webContent/includes/components/taskDetails/descriptionCardHeaderActions.xhtml","33","si si-move-to-bottom","ti ti-arrow-big-down-lines","replaced"
"si si-alarm-bell-timer","Regular","dev-workflow-ui/webContent/includes/components/taskDetails/descriptionCardHeaderActions.xhtml","41","si si-alarm-bell-timer","ti ti-bell-plus","replaced"
"pi pi-chart-bar","Regular","dev-workflow-ui/webContent/includes/components/statistics/caseTopCreators.xhtml","14","pi pi-chart-bar","ti ti-chart-bar","replaced"
"pi pi-chart-pie","Regular","dev-workflow-ui/webContent/includes/components/statistics/caseStateGraph.xhtml","13","pi pi-chart-pie","ti ti-chart-pie","replaced"
"si-#{task.priorityIcon}"" />","Complex","dev-workflow-ui/webContent/view/tasks.xhtml","43","","",""
"si-#{subscription.icon} subscription-icon"" title=""#{subscription.title}""","Complex","dev-workflow-ui/webContent/view/profile.xhtml","119","","",""
"si-#{task.priorityIcon}"" />","Complex","dev-workflow-ui/webContent/view/home.xhtml","69","","",""
"pi pi-#{ivyFreyaTheme.mode == 'light' ? 'moon' : 'sun'}""/>","Complex","dev-workflow-ui/webContent/includes/template/template.xhtml","51","","",""
"si #{notification.runAction.icon()} mr-1 "" />","Complex","dev-workflow-ui/webContent/includes/template/notifications.xhtml","51","","",""
"si si-#{document.icon}""/>","Complex","dev-workflow-ui/webContent/includes/components/caseDetails/documents.xhtml","10","","",""
"si-#{task.priorityIcon}"" />","Complex","dev-workflow-ui/webContent/includes/components/caseDetails/taskList.xhtml","18","","",""
"si #{stage.stateIconCss} case-map-state-icon""/>","Complex","dev-workflow-ui/webContent/includes/components/caseDetails/caseMap.xhtml","14","","",""
"si si-#{task.priorityIcon} mr-2"" />","Complex","dev-workflow-ui/webContent/includes/components/taskDetails/description.xhtml","21","","",""
"si-#{task.priorityIcon}"" />","Complex","dev-workflow-ui/webContent/includes/components/userDetails/userdetail-usertasks.xhtml","17","","",""
"  public String icon() {","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/notification/NotificationActionDTO.java","23","","",""
"    var icon = new StringBuilder();","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/profile/NotificationChannelDto.java","64","","",""
"      icon.append(""check-circle-1 state-active"");","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/profile/NotificationChannelDto.java","68","","",""
"      icon.append(""remove-circle state-inactive"");","Java","dev-workflow-ui/src/ch/ivyteam/workflowui/profile/NotificationChannelDto.java","71","","",""
